## 1.1.1
## assembly	: /in/data/genome_assembly.fasta
## coverage	 spades - /in/data/genome_assembly.fasta
## taxonomy	: no taxonomy information found
## nodesDB	: None
## taxrule	: bestsum
## min_score	: 0.0
## min_diff	: 0.0
## tax_collision_random	: False
##
# name	length	GC	N	spades	phylum.t.6%s	phylum.s.7%s	phylum.c.8
NODE_977_length_14956_cov_78.220647	14956	0.4285	0	78.2206	N/A	N/A	N/A
NODE_988_length_14867_cov_67.503313	14867	0.4106	0	67.5033	N/A	N/A	N/A
NODE_995_length_14809_cov_61.788895	14809	0.4164	10	61.7889	N/A	N/A	N/A
NODE_1011_length_14748_cov_72.181992	14748	0.4502	0	72.182	N/A	N/A	N/A
NODE_1031_length_14638_cov_95.423803	14638	0.419	0	95.4238	N/A	N/A	N/A
NODE_1101_length_14326_cov_69.148642	14326	0.4014	0	69.1486	N/A	N/A	N/A
NODE_1128_length_14200_cov_66.098704	14200	0.4046	0	66.0987	N/A	N/A	N/A
NODE_1142_length_14151_cov_67.063521	14151	0.4092	0	67.0635	N/A	N/A	N/A
NODE_1158_length_14110_cov_72.914345	14110	0.4337	0	72.9143	N/A	N/A	N/A
NODE_1166_length_14080_cov_67.299079	14080	0.4121	0	67.2991	N/A	N/A	N/A
NODE_1185_length_13996_cov_68.076442	13996	0.4573	0	68.0764	N/A	N/A	N/A
NODE_1189_length_13962_cov_65.440043	13962	0.3993	0	65.44	N/A	N/A	N/A
NODE_1200_length_13925_cov_87.514731	13925	0.4804	0	87.5147	N/A	N/A	N/A
NODE_1233_length_13730_cov_76.219366	13730	0.461	0	76.2194	N/A	N/A	N/A
NODE_1235_length_13721_cov_61.498461	13721	0.411	0	61.4985	N/A	N/A	N/A
NODE_1238_length_13692_cov_71.526845	13692	0.421	0	71.5268	N/A	N/A	N/A
NODE_1247_length_13653_cov_65.576974	13653	0.4044	0	65.577	N/A	N/A	N/A
NODE_1268_length_13568_cov_63.640798	13568	0.4108	10	63.6408	N/A	N/A	N/A
NODE_1274_length_13548_cov_67.530176	13548	0.4118	0	67.5302	N/A	N/A	N/A
NODE_1279_length_13536_cov_70.022661	13536	0.4181	0	70.0227	N/A	N/A	N/A
NODE_1309_length_13393_cov_73.773280	13393	0.4408	0	73.7733	N/A	N/A	N/A
NODE_1323_length_13347_cov_78.855011	13347	0.4237	0	78.855	N/A	N/A	N/A
NODE_1328_length_13336_cov_70.010483	13336	0.4557	0	70.0105	N/A	N/A	N/A
NODE_1362_length_13205_cov_73.974482	13205	0.4298	0	73.9745	N/A	N/A	N/A
NODE_1372_length_13147_cov_88.319128	13147	0.4443	0	88.3191	N/A	N/A	N/A
NODE_1380_length_13122_cov_61.074511	13122	0.3964	0	61.0745	N/A	N/A	N/A
NODE_1391_length_13092_cov_89.688206	13092	0.4245	0	89.6882	N/A	N/A	N/A
NODE_1398_length_13065_cov_66.456729	13065	0.3995	0	66.4567	N/A	N/A	N/A
NODE_1400_length_13057_cov_79.066641	13057	0.4087	0	79.0666	N/A	N/A	N/A
NODE_1407_length_13026_cov_80.853734	13026	0.4493	0	80.8537	N/A	N/A	N/A
NODE_1420_length_12999_cov_89.891503	12999	0.4265	100	89.8915	N/A	N/A	N/A
NODE_1458_length_12848_cov_79.667058	12848	0.4271	0	79.6671	N/A	N/A	N/A
NODE_1470_length_12799_cov_69.484751	12799	0.4523	10	69.4848	N/A	N/A	N/A
NODE_1510_length_12658_cov_76.206979	12658	0.4676	0	76.207	N/A	N/A	N/A
